Zaszumienie kana³u (w promilach);Œrednia iloœæ niepoprawnych pakietów;Odchylenie standardowe
228;49,12244898;4,419957766
229;48,83673469;4,700616281
230;50,36734694;4,839016081
231;50,2244898;5,234365666
232;50,71428571;5,387059324
233;51,14285714;4,92391084
234;51,36734694;4,457023247
235;51,20408163;4,361143792
236;51,34693878;4,108483113
237;51,40816327;4,801863445
238;53,02040816;4,757335028
239;52,59183673;5,458258552
240;52,44897959;4,965436555
241;54,04081633;4,977333044
242;52,7755102;6,011096223
243;53,02040816;5,542009493
244;52,32653061;4,007074128
245;54,83673469;4,730909818
246;54,57142857;4,115674369
247;54;4,633507069
248;55,55102041;4,836347182
249;55;4,199125273
250;55,48979592;5,206442042
251;54,79591837;4,772282181
252;55,75510204;4,901189411
253;56,73469388;4,579348096
254;55,69387755;5,067721307
255;58,48979592;5,075440863
256;57,69387755;4,756109204
257;57,02040816;5,250810612
258;56,67346939;4,692102593
259;57,16326531;5,140264977
260;57,97959184;5,825663826
261;58,16326531;4,700616281
262;59,14285714;4,252250305
263;59,16326531;5,203401316
264;58,83673469;4,599675848
265;58,32653061;5,040196607
266;59,28571429;4,223355857
267;59,2244898;5,023476746
268;59,16326531;4,773852843
269;60,91836735;5,356044591
270;60,26530612;4,512004443
271;60,36734694;4,488960961
272;60,69387755;3,887206025
273;59,91836735;4,763109663
274;60,91836735;5,162014852
275;62,6122449;4,715654894
276;62,08163265;4,750238382
277;61,91836735;4,852252726
278;62,40816327;4,839962756
279;62,53061224;3,928452158
280;61,95918367;4,11547197
281;62,83673469;4,866993955
282;63,71428571;4,361239292
283;63,2244898;4,367156204
284;63,10204082;4,647777164
285;63,32653061;4,683395572
286;64,69387755;4,554450981
287;63,28571429;5,492109368
288;63,34693878;4,587253949
289;65,12244898;5,137428298
290;65,14285714;4,005098791
291;65,14285714;4,440077219
292;65,48979592;4,389795444
293;64,91836735;3,837711556
294;65,12244898;4,123762167
295;65,28571429;4,981598793
296;66,81632653;4,049053653
297;65,3877551;4,525737403
298;66,57142857;4,318918988
299;66,69387755;4,106759394
300;67,12244898;3,982782604
301;68,20408163;4,342385274
302;67,12244898;5,057355335
303;67,63265306;4,457023247
304;68,57142857;4,440077219
305;68,7755102;4,339027005
306;68,32653061;4,391028679
307;68,48979592;5,831380447
308;67,73469388;5,090108496
309;69,14285714;4,453844934
310;69,40816327;4,154753203
311;70,14285714;4,179639668
312;70,85714286;4,194262359
313;70,02040816;3,667228258
314;68,16326531;4,586345923
315;71,02040816;3,867656549
316;70,04081633;3,870132538
317;69,34693878;3,909961221
318;70,87755102;4,321907426
319;71;4,607004428
320;71,14285714;4,750939757
321;71,14285714;4,655477353
322;71,91836735;4,588524883
323;72,30612245;4,209823699
324;71,3877551;4,232123636
325;72,95918367;4,256851302
326;73,14285714;4,70778773
327;72,36734694;4,543189016
328;72,30612245;4,214668659
329;73,53061224;5,299603531
330;72,2244898;4,296487916
331;74,42857143;3,730732816
332;74,06122449;4,012267735
333;73,20408163;3,94854451
334;72,95918367;5,005952309
335;73,67346939;3,291223674
336;74,36734694;4,406367737
337;74,36734694;4,345740948
338;74,93877551;4,622077293
339;74,42857143;4,252250305
340;75,36734694;3,977969319
341;74,32653061;3,67222201
342;74,81632653;4,538602992
343;75,91836735;4,402396076
344;74,93877551;5,015926322
345;75,44897959;4,607275633
346;76,71428571;5,042675027
347;75;4,065785563
348;75,28571429;3,510915922
349;76,40816327;3,4041893
350;77,28571429;3,806546456
351;76,36734694;4,26037211
352;77,87755102;4,013409427
353;77,57142857;3,428571429
354;77,2244898;4,243916684
355;77,79591837;3,891275389
356;77,42857143;3,487587319
357;77,75510204;4,75751012
358;76,10204082;3,558518942
359;78,69387755;4,81156804
360;77,3877551;4,525737403
361;77,81632653;3,99833368
362;79,06122449;4,017350956
363;79,67346939;4,505723141
364;79;4,16986272
365;79,28571429;3,585685828
366;78,81632653;3,982991745
367;79,97959184;3,507948967
368;79,79591837;4,055631468
369;80,12244898;4,177845617
370;79,12244898;3,772254526
371;80,26530612;4,094673046
372;79,89795918;4,554633873
373;80,24489796;3,645128772
374;80,44897959;4,819438635
375;81,26530612;3,751329072
376;81,83673469;3,716191482
377;81;3,886134431
378;80,28571429;4,370588155
379;81,10204082;3,704629745
380;82,3877551;4,548228301
381;79,91836735;3,800304685
382;81,30612245;4,371540996
383;81,06122449;3,803372098
384;82,53061224;3,912836232
385;82,28571429;3,301205717
386;82,73469388;4,089685933
387;82,16326531;3,721679118
388;82,08163265;4,193467878
389;84;3,356382893
390;82,44897959;3,362829375
391;82,3877551;4,439232911
392;83,44897959;3,870670587
393;83,73469388;3,293627181
394;83,48979592;3,534797566
395;82,75510204;2,669025751
396;82,87755102;4,138582292
397;84,57142857;3,023715784
398;84,20408163;3,162145951
399;84,42857143;3,097069056
400;84,63265306;2,883406981
401;85;3,475864303
402;84,40816327;3,313043901
403;84,34693878;3,292235891
404;84,71428571;3,392669168
405;84,67346939;4,372398376
406;85,14285714;3,219836477
407;83,97959184;3,565651304
408;84,69387755;3,975455726
409;85,18367347;3,16016965
410;85,65306122;2,796141805
411;86,53061224;3,252013761
412;85,06122449;3,033205103
413;85,79591837;3,591256911
414;86,2244898;3,524059036
415;86,30612245;3,748219069
416;85,97959184;4,201505055
417;86,30612245;3,818344986
418;86,6122449;3,035950085
419;86,51020408;2,733932273
420;87,10204082;3,05891069
421;86,81632653;3,612187247
422;86,97959184;2,721717614
423;86,79591837;3,404556322
424;87,24489796;3,617026698
425;87,12244898;3,305114485
426;86,75510204;3,513998898
